Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.037    0.037 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/linalg/misc.py:1(<module>)
      218    0.003    0.000    0.037    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2026(_by_version)
      108    0.001    0.000    0.036    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2290(fixup_namespace_packages)
      145    0.001    0.000    0.036    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/pkgutil.py:173(find_module)
        1    0.006    0.006    0.036    0.036 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/misc.py:250(compute_scaling)
       26    0.000    0.000    0.036    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2779(__init__)
        1    0.001    0.001    0.034    0.034 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/spatial/kdtree.py:3(<module>)
      218    0.003    0.000    0.033    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2578(from_location)
        1    0.005    0.005    0.033    0.033 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/connectivity/__init__.py:2(<module>)
        1    0.008    0.008    0.033    0.033 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/__init__.py:220(<module>)
      656    0.003    0.000    0.032    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:24(parse)
      876    0.013    0.000    0.031    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:198(__init__)
        1    0.001    0.001    0.031    0.031 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/linalg/lapack.py:544(<module>)
        1    0.001    0.001    0.031    0.031 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/linalg/algebraicconnectivity.py:9(<module>)
    16022    0.026    0.000    0.031    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:194(__next)
        1    0.001    0.001    0.030    0.030 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_util.py:1(<module>)
       74    0.000    0.000    0.029    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/decorators.py:412(py_random_state)
        1    0.009    0.009    0.029    0.029 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/__init__.py:1(<module>)
        1    0.001    0.001    0.028    0.028 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/specifiers.py:4(<module>)
        1    0.002    0.002    0.026    0.026 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/compat/__init__.py:10(<module>)
      123    0.001    0.000    0.026    0.000 {map}
        1    0.004    0.004    0.025    0.025 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.005    0.005    0.025    0.025 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/__init__.py:110(<module>)
        1    0.000    0.000    0.024    0.024 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:25(<module>)
      153    0.000    0.000    0.024    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:379(realpath)
      218    0.001    0.000    0.024    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2565(__init__)
